"parid","mar_distance","br_distance"
2000490,1.7308049322439019,4.02926724950429
2000767,4.816938553144691,4.141123954837644
2000821,3.1523041994979537,1.5986116503826744
2000821,3.1523041994979537,1.5986116503826744
2001011,6.759646248133197,5.398178454276207
2001313,0,2.6647090245096794
2001356,0.2963183161502186,2.687819965191236
2001402,0.28923469999626666,2.653435299112619
2001402,0.28923469999626666,2.653435299112619
2001500,0.26998947067955664,2.5332198958306926
2001534,0.25501401379537625,2.6149109404570288
2001542,0.3289862918895268,2.4157828447591654
2001593,0.2912193788811786,2.571055908392341
2001593,0.2912193788811786,2.571055908392341
2001623,0.26772263120523476,2.706207007717622
2001631,0.2570055519110581,2.5881051254043843
2001658,0.2553277419379243,2.605801880062768
2001666,0.29301136584676446,2.5620009144385647
2001712,0.26712136650293894,2.542223755433015
2001747,0.28770952942519123,2.6258242461864962
2001798,0.2984490397828016,2.4696662824837596
2001844,0.2769156785803111,2.515128102322158
2001879,0.2620541368771269,2.560491672634407
2001909,0.25870283382342524,2.669582420614498
2001925,0.2650955344724333,2.6974442851398974
2002018,0.2929143735077784,2.676670716523933
2002034,0.29113297025296603,2.6651378638303465
2002123,0.053740890232787296,2.6447605369255065
2002212,0.1204210389015806,2.5752580459273866
2002581,0.08984115435985564,0.345102319614074
2002646,0.23953609923384628,0.251000481424095
2002654,0.21834825829911564,0.2518561129401588
2003197,4.395466649449103,6.387614939471635
2003537,5.176886868010299,7.191681700984455
2003715,4.305364509189415,5.8917008680293605
2004045,3.402349631108631,5.115884259207873
2004266,3.0856834524050605,4.967921137722147
2004762,2.409048112022641,3.857662739960695
2004789,2.27721712131385,3.7786220725544575
2004797,2.1224030123987485,3.689786183376164
2004860,2.5446019161461484,3.942021184382041
2004860,2.5446019161461484,3.942021184382041
2004916,2.3558194707637368,3.9963971184717964
2005459,3.1993722923134733,4.6538779643366714
2005858,3.463182547543779,5.061620931549387
2006315,3.4622732804118725,4.695992969497714
2006722,2.476458608904866,4.076241100311736
2006935,3.023668434357149,4.429521196975615
2007397,3.3418364929264994,4.6187564904637535
2007656,3.051312161731628,4.282956072607823
2007800,2.9812238564891564,4.208357341452422
2007982,3.043014831365148,4.224033929258658
2008342,3.900642750408191,5.029667688263344
2008598,4.273317819447878,5.379528241214588
2008636,4.150056867906063,5.223981476193065
2008644,4.176571988983296,5.329649689453956
2008687,5.2299945332905065,6.123587874746458
2008725,4.827685073918491,5.7340582642208116
2008733,4.729716551410128,5.641447036017409
2009501,3.0258564118707305,4.008475270620673
2010045,2.347595120722569,3.4911803931551995
2010053,2.440423923450876,3.5072232035934268
2010053,2.440423923450876,3.5072232035934268
2010398,4.516867534962197,4.5279016229763736
2010576,3.828540337611256,4.0498076176039435
2010665,5.6694221600522985,5.678236338596873
2010851,4.866630115947221,4.73167203242813
2010878,4.9393029732269005,5.15171134058588
2010941,5.253819930296595,5.309580029034798
2010959,5.272834713659485,5.264988875600913
2011360,4.669145662783391,4.429570093679203
